premierelocatie_id,relatie,value
133667,stad,Mechelen
133667,postcode,2800
133667,land,België
139621,naam,ismos/Mirfestival's centre
139621,adres,
139621,stad,Athene
139621,postcode,None
139621,land,Griekenland
136780,naam,ruimte onbekend
136780,adres,None
136780,stad,Budapest
136780,postcode,None
136780,land,Hongarije
134288,naam,Tanztheater International
134288,adres,
134288,stad,Hannover
134288,postcode,None
134288,land,Duitsland
140039,naam,Bibliotheek Halle
140039,adres,
140039,stad,Halle
140039,postcode,None
140039,land,België
135909,naam,Le Channel
135909,adres,173 boulevard Gambetta
135909,stad,Calais
135909,postcode,62102
135909,land,Frankrijk
137870,naam,Salle Sainte-Thérèse
137870,adres,
137870,stad,Brussel
137870,postcode,1200
137870,land,België
136345,naam,Théâtre de la Ville - Les Abbesses
136345,adres,31 rue des Abbesses
136345,stad,Paris
136345,postcode,75018
136345,land,Frankrijk
139611,naam,MuCEM
139611,adres,
139611,stad,Marseille
139611,postcode,None
139611,land,Frankrijk
139489,naam,Cairns Lecture Theatre
139489,adres,
139489,stad,Edinburgh
139489,postcode,None
139489,land,Groot-Brittannië
133909,naam,Koninklijk Technisch Atheneum Gent
133909,adres,Bagattenstraat 43
133909,stad,Gent
133909,postcode,9000
133909,land,België
135527,naam,Hiberniaschool
135527,adres,Volksstraat 40
135527,stad,Antwerpen
135527,postcode,2000
135527,land,België
136938,naam,"The Pit, Barbican Centre"
136938,adres,Silk Street
136938,stad,London
136938,postcode,EC2Y 8DS
136938,land,Groot-Brittannië
136351,naam,BITEF
136351,adres,None
136351,stad,Belgrado
136351,postcode,None
136351,land,Servië en Montenegro
137875,naam,Budascoop
137875,adres,
137875,stad,Kortrijk
137875,postcode,None
137875,land,België
139359,naam,Operaestate
139359,adres,
139359,stad,Bassano del Grappa
139359,postcode,None
139359,land,Italië
137359,naam,Espace Tival
137359,adres,place de la Réunion 2
137359,stad,Kingersheim
137359,postcode,68260
137359,land,Frankrijk
132440,naam,Echt Antwaarps Teater
132440,adres,Arenbergstraat 10
132440,stad,Antwerpen
132440,postcode,2000
132440,land,België
137647,naam,Drum Theatre
137647,adres,Royal Parade
137647,stad,Plymouth
137647,postcode,None
137647,land,Groot-Brittannië
136047,naam,Humorologie
136047,adres,Van Belleghemdreef 6
136047,stad,Marke (Kortrijk)
136047,postcode,8510
136047,land,België
138259,naam,CC Cultuurfabriek
138259,adres,Stationsstraat 22
138259,stad,Damme
138259,postcode,8340
138259,land,België
138654,naam,CC DGP - Kleine Post
138654,adres,
138654,stad,Oostende
138654,postcode,None
138654,land,België
134087,naam,Ménagerie de Verre
134087,adres,"12 - 14, rue Léchevin"
134087,stad,Paris
134087,postcode,75011
134087,land,Frankrijk
135482,naam,Bij De Vieze Gasten
135482,adres,Reinaertstraat 125
135482,stad,Gent
135482,postcode,9000
135482,land,België
135642,naam,CC Meise
135642,adres,Brusselsesteenweg 69
135642,stad,Meise
135642,postcode,1860
135642,land,België
138195,naam,La Pulcinella
138195,adres,Happaertstraat (Bogaardestraat)
138195,stad,Antwerpen
138195,postcode,2000
138195,land,België
137489,naam,Maison Folie
137489,adres,Rue des Arbalestriers 8
137489,stad,Mons
137489,postcode,7000
137489,land,België
139461,naam,Begraafplaats Steytelinc
139461,adres,
139461,stad,Wilrijk
139461,postcode,None
139461,land,België
