subsidie_id,relatie,value
14559,subsidietype,structureel diverse duur_14
14559,subsidiecomite,theater_10
14559,subsidiërende instantie,Kunstendecreet_1
14563,subsidiesysteem,Organisaties meerjarig voor theater_606
14563,organisatie,Ensemble Leporello_360599
14563,beginjaar,2006
14563,eindjaar,2009
14563,subsidietype,structureel diverse duur_14
14563,subsidiecomite,theater_10
14563,subsidiërende instantie,Kunstendecreet_1
14567,subsidiesysteem,Organisaties meerjarig voor theater_606
14567,organisatie,Toneelhuis_363214
14567,beginjaar,2006
14567,eindjaar,2009
14567,subsidietype,structureel diverse duur_14
14567,subsidiecomite,theater_10
14567,subsidiërende instantie,Kunstendecreet_1
14569,subsidiesysteem,Organisaties meerjarig voor theater_606
14569,organisatie,de Bloedgroep_370943
14569,beginjaar,2006
14569,eindjaar,2009
14569,subsidietype,structureel diverse duur_14
14569,subsidiecomite,theater_10
14569,subsidiërende instantie,Kunstendecreet_1
14570,subsidiesysteem,Organisaties meerjarig voor theater_606
14570,organisatie,Avec Jan Jib Co_371252
14570,beginjaar,2006
14570,eindjaar,2009
14570,subsidietype,structureel diverse duur_14
14570,subsidiecomite,theater_10
14570,subsidiërende instantie,Kunstendecreet_1
14571,subsidiesysteem,Organisaties meerjarig voor theater_606
14571,organisatie,De Tijd_360780
14571,beginjaar,2006
14571,eindjaar,2009
14571,subsidietype,structureel diverse duur_14
14571,subsidiecomite,theater_10
14571,subsidiërende instantie,Kunstendecreet_1
14572,subsidiesysteem,Organisaties meerjarig voor theater_606
14572,organisatie,NTGent_370945
14572,beginjaar,2006
14572,eindjaar,2009
14572,subsidietype,structureel diverse duur_14
14572,subsidiecomite,theater_10
14572,subsidiërende instantie,Kunstendecreet_1
14573,subsidiesysteem,Organisaties meerjarig voor theater_606
14573,organisatie,Vlaams Toneelgezelschap Capitole_371299
14573,beginjaar,2006
14573,eindjaar,2009
14573,subsidietype,structureel diverse duur_14
14573,subsidiecomite,theater_10
14573,subsidiërende instantie,Kunstendecreet_1
14579,subsidiesysteem,Organisaties meerjarig voor theater_606
14579,organisatie,MartHa!tentatief_363160
14579,beginjaar,2006
14579,eindjaar,2009
14579,subsidietype,structureel diverse duur_14
14579,subsidiecomite,theater_10
14579,subsidiërende instantie,Kunstendecreet_1
14580,subsidiesysteem,Organisaties meerjarig voor theater_606
14580,organisatie,Compagnie de Koe_362552
14580,beginjaar,2006
14580,eindjaar,2009
14580,subsidietype,structureel diverse duur_14
14580,subsidiecomite,theater_10
14580,subsidiërende instantie,Kunstendecreet_1
14584,subsidiesysteem,Organisaties meerjarig voor theater_606
14584,organisatie,Koninklijke Vlaamse Schouwburg - KVS_360690
14584,beginjaar,2006
14584,eindjaar,2009
14584,subsidietype,structureel diverse duur_14
14584,subsidiecomite,theater_10
14584,subsidiërende instantie,Kunstendecreet_1
14587,subsidiesysteem,Organisaties meerjarig voor theater_606
14587,organisatie,LAZARUS_371092
14587,beginjaar,2006
14587,eindjaar,2009
14587,subsidietype,structureel diverse duur_14
14587,subsidiecomite,theater_10
14587,subsidiërende instantie,Kunstendecreet_1
14588,subsidiesysteem,Organisaties meerjarig voor theater_606
14588,organisatie,Comp.Marius_371072
14588,beginjaar,2006
14588,eindjaar,2009
14588,subsidietype,structureel diverse duur_14
14588,subsidiecomite,theater_10
14588,subsidiërende instantie,Kunstendecreet_1
14589,subsidiesysteem,Organisaties meerjarig voor theater_606
14589,organisatie,Jan Fabre - Troubleyn_360650
14589,beginjaar,2006
14589,eindjaar,2009
14589,subsidietype,structureel diverse duur_14
14589,subsidiecomite,theater_10
14589,subsidiërende instantie,Kunstendecreet_1
14590,subsidiesysteem,Organisaties meerjarig voor theater_606
14590,organisatie,Brussels Volkstejoêter_371262
14590,beginjaar,2006
14590,eindjaar,2009
14590,subsidietype,structureel diverse duur_14
14590,subsidiecomite,theater_10
14590,subsidiërende instantie,Kunstendecreet_1
14591,subsidiesysteem,Organisaties meerjarig voor theater_606
14591,organisatie,De Stichting / Peter De Graef_363046
14591,beginjaar,2006
14591,eindjaar,2009
14591,subsidietype,structureel diverse duur_14
14591,subsidiecomite,theater_10
14591,subsidiërende instantie,Kunstendecreet_1
14592,subsidiesysteem,Organisaties meerjarig voor theater_606
14592,organisatie,Barre Weldaad_363145
14592,beginjaar,2006
14592,eindjaar,2009
14592,subsidietype,structureel diverse duur_14
14592,subsidiecomite,theater_10
14592,subsidiërende instantie,Kunstendecreet_1
14593,subsidiesysteem,Organisaties meerjarig voor theater_606
14593,organisatie,Action Malaise_369722
14593,beginjaar,2006
14593,eindjaar,2009
14593,subsidietype,structureel diverse duur_14
14593,subsidiecomite,theater_10
14593,subsidiërende instantie,Kunstendecreet_1
14595,subsidiesysteem,Organisaties meerjarig voor theater_606
14595,organisatie,Lampe_368714
14595,beginjaar,2006
14595,eindjaar,2009
14595,subsidietype,structureel diverse duur_14
14595,subsidiecomite,theater_10
14595,subsidiërende instantie,Kunstendecreet_1
14596,subsidiesysteem,Organisaties meerjarig voor theater_606
14596,organisatie,productiehuis padarijs_371286
14596,beginjaar,2006
14596,eindjaar,2009
14596,subsidietype,structureel diverse duur_14
14596,subsidiecomite,theater_10
14596,subsidiërende instantie,Kunstendecreet_1
14599,subsidiesysteem,Projecten theater_607
14599,organisatie,CREW_eric joris_363234
14599,beginjaar,2005
14599,eindjaar,2005
14599,subsidietype,projectbeurs_4
14599,subsidiecomite,theater_10
14599,subsidiërende instantie,Podiumkunstendecreet_10
14602,subsidiesysteem,Projecten theater_607
14602,organisatie,Abattoir Fermé_369920
14602,beginjaar,2005
14602,eindjaar,2005
14602,subsidietype,projectbeurs_4
14602,subsidiecomite,theater_10
14602,subsidiërende instantie,Podiumkunstendecreet_10
14603,subsidiesysteem,Projecten theater_607
14603,organisatie,Union Suspecte_370237
14603,beginjaar,2005
14603,eindjaar,2005
14603,subsidietype,projectbeurs_4
14603,subsidiecomite,theater_10
