,Lijst van organisaties,Count van producties
633,Theater op de Markt,1
634,Studio KoS,2
635,Sprookjes enzo vzw,22
636,Louise Vanneste/Rising Horses,8
637,Jan Fabre - Troubleyn,160
638,Studio Tokio,1
639,Redt & helpt uzelven en elkander,1
640,Raymond van het Groenewoud,1
641,ChampdAction,4
642,De komeet,28
643,Quatuor Danel,1
644,De Vikingen,6
645,4Hoog Productiehuis,103
646,ZOO,77
647,Kollektief D & A,51
648,kabinet k,18
649,De Sprook,2
650,Tribe,1
651,"Zwerm
",1
652,Theater Froe Froe,152
653,Athome,21
654,Mark Verstraete,3
655,BodyTalker,2
656,Is Goudvis vzw,1
657,Cirq'ulation Locale,5
658,Bianco Nero,2
659,Globe Aroma,1
660,Teatertentog,5
661,Het Eenzame Westen,3
662,Hel's Kitchen,6
663,Irma Firma,10
664,De Diepe Rivieren vzw,3
665,lAmpekAp,4
666,Wolven vzw,2
667,Nada & Co,1
668,Oud Huis Stekelbees,1
669,Theater gordijnen voor konijnen,12
670,Jef Demedts (vzw),2
671,Rwina vzw,3
672,Anatolie Toneel Groep,2
673,Vlaams Theater Instituut - VTi,1
674,Beethoven Academie,2
675,Salomee Speelt,7
676,"Hogeschool Antwerpen / departement Dramatische Kunst, Muziek en Dans",9
677,Koninklijke Nederlandse Schouwburg i.o.n.,15
678,Lilia Mestre,1
679,Collectif Malunés,6
680,De Onderneming,66
681,POK Multimediacollectief,3
682,Maquis,1
683,Enclave Dance Company,1
684,Time Festival,11
685,0090 Kunstenfestival,1
686,Vrij van zegel,1
687,Monty,70
688,Het Kwartier,2
689,FONTH bvba,2
690,Mambocito Mio,4
691,Stray Light vzw,1
692,Stabada,6
693,Continuum,15
694,Antwerpen Averechts,1
695,Kunstlab AVElinks,1
696,daarKom vlaams-marokkaans culturenhuis,1
697,Round Face vzw,9
698,les ballets C de la B,129
699,Musical van Vlaanderen,14
700,KC TheaterTeater,1
701,Charleroi/Danses,11
702,HERMESensemble,4
703,De Muziekfactorij,1
704,La Cité Moderne,1
705,TG Ting,5
706,Opera Vlaanderen,21
707,Jong Bloed,6
708,Rosas,217
709,La Compagnie Victor,2
710,de Claes fabriek,2
711,'t ANtWOORD,1
712,Wrong Ass. / In the Wrong,1
713,Kollektief Najief,2
714,CC De Grote Post,3
715,MEMIS,3
716,Dans in Kortrijk,7
717,Jean Luc Ducourt,9
718,Boris vzw,5
719,Kasteel van Gaasbeek,1
720,het KIP,55
721,Latitudes Lille Bruxelles,3
722,Verenigde werkhuizen Thassos v.z.w.,4
723,Martico vzw,4
724,Dunia,6
725,OHNO Cooperation,4
726,Tiens Tiens,1
727,Louisa's Daughter,2
728,Kosmonaut Production,9
729,Disco Waterschei,1
730,Pilot Productions,1
731,Compagnie Aimé de Lignière,4
