,Lijst van personen,Gender,Stad,Land,Postcode,Count van producties
335,Vincent Tetaert,109.0,,België,,1
336,Fania Sorel,109.0,Noorderwijk,België,,27
337,Nadine Van Vossem,109.0,Oudenaarde,België,,13
338,Peter Strynckx,110.0,BASSEVELDE,België,,117
339,Ludovic Van Craen,110.0,Antwerpen,België,,100
340,Mattijs Peeters,110.0,,België,,3
341,Mieke Smalle,109.0,Gent,België,,8
342,Marie Leestmans,109.0,Brussel,België,,1
343,Geert Goossens,110.0,,België,,1
344,Sihame El Kaouakibi,109.0,,België,,2
345,Rudy Morren,110.0,Borgerhout,België,,31
346,Els Kortleven,109.0,Antwerpen,België,,16
347,Gerardo Salinas,110.0,Antwerpen,België,,3
348,Edwin Peten,110.0,Mechelen,België,,79
349,Stefan Enderle,110.0,,Oostenrijk,,3
350,Mark Tijsmans,110.0,Merksem,België,,19
351,Jan Geers,110.0,Deftinge,België,,43
352,Lies Verhetsel,109.0,,België,,1
353,Tim Hecker,110.0,,België,,1
354,Joris Erven,110.0,,België,,18
355,Mauro Lanza,110.0,,Italië,,3
356,Stijn Dickel,110.0,,België,,15
357,Rik Verheye,110.0,,België,,13
358,Maarten Moesen,110.0,,België,,5
359,Stéphanie De Brandt,109.0,Gent,België,,4
360,Wim Stevens,110.0,Borgerhout,België,,16
361,Kristel Salaets,109.0,,België,,1
362,Frank Houtappels,110.0,KW Amsterdam,Nederland,,1
363,Denise Zimmerman,109.0,Zoersel,België,,131
364,Sarah Vangeel,109.0,Antwerpen,België,,50
365,Janine Brogt,109.0,Hiversum,Nederland,,30
366,Emmanuelle Schotsaert,109.0,,België,,6
367,Wouter Verbeken,110.0,Antwerpen,België,,3
368,Kika Van Robays,109.0,,België,,3
369,Stijn Coninx,110.0,Opwijk,België,,4
370,Federico Santi,110.0,,Italië,,1
371,Chris Verhaegen,109.0,,België,,8
372,Sanne Haenen,109.0,Gent,België,,5
373,Robby Cleiren,110.0,Deurne,België,,158
374,Cathy Zanté,109.0,,België,,1
375,Stan Meys,110.0,,België,,1
376,Koen Browaeys,110.0,,België,,4
377,Alex Martens,110.0,,België,,2
378,Brecht Beuselinck,110.0,Beernem,België,,7
379,Tobias Bausch,110.0,Elsene,België,,8
380,Anne Van Es,109.0,,België,,12
381,Sara Ludi,109.0,,België,,78
382,François De Jonge,110.0,,België,,1
383,Tine Kartuyvels,110.0,Hever,België,,2
384,Alex Desiron,110.0,,België,,1
385,David Mcvicar,110.0,,Groot-Brittannië,,11
386,José María Cano,110.0,,Spanje,,2
387,Lies Vanpeperstraete,109.0,Gent,België,,1
388,Karst Woudstra,110.0,Amsterdam,Nederland,,82
389,Matthias Dusesoi,110.0,Brussel,België,,12
390,Wennie De Ruyck,110.0,Gent,België,,28
391,Simone Milsdochter,109.0,Antwerpen,België,,80
392,Luc Bergé,110.0,LOONBEEK,België,,4
393,Frank Soehnle,110.0,,België,,9
394,Rolf Wallin,110.0,,Noorwegen,,3
395,Hélène Devos,109.0,,België,,10
396,Denise Castermans,109.0,,België,,6
397,David Foster Wallace,110.0,,Verenigde Staten van Amerika,,1
398,Jean-Marie Oriot,110.0,,België,,5
399,Dirk Derre,110.0,Gent,België,,26
400,Bart Bracke,110.0,Wommelgem,België,,85
401,Christophe Degelin,110.0,,België,,10
402,Herwig Hensen,110.0,Antwerpen,België,,13
403,Vera Puts,109.0,Deurne,België,,23
404,Niek Kortekaas,110.0,Antwerpen,België,,191
