,Ruimte,Straat en nummer,Postcode,Stad
377,Salle B9 / St-Luc,Bld de la Constitution 41,4020,Liège
378,Theater Antigone,Overleiestraat 47,8500,Kortrijk
379,De Centrale,Kraankindersstraat 2,9000,Gent
380,Minnepoort,,3000,Leuven
381,CC Belgica,Kerkstraat 24,9200,Dendermonde
382,Sint-LODEWIJKSCOLLEGE,MAGDALENASTRAAT 30,8000,Brugge
383,Théâtre National de Belgique,CENTRE ROGIER,1210,Sint-Joost-ten-Node
384,Opvangcentrum Arendonk,,,Arendonk
385,CC Het Loo,Vismarkt z/n,3980,Tessenderlo
386,Dienstencentrum Santiago,Canadalaan 21,2030,Antwerpen
387,Garage29,Moerkerkestraat 29,1030,Schaarbeek
388,Fort4,Fortstraat 100,2640,Mortsel
389,Brigittinenkapel,,,Brussel
390,De Figuranten,Koningstraat 32,8930,Menen
391,Museum M,,,Leuven
392,Maria Hendrikapark,,,Oostende
393,PCT Dommelhof,Toekomstlaan 5,3910,Neerpelt
394,Bij De Vieze Gasten,Reinaertstraat 125,9000,Gent
395,De Tuin,,,Antwerpen
396,I.D.P.,,,Oostende
397,Vlaamse Opera Gent,Schouwburgstraat 3,9000,Gent
398,Mijnsite De Verdieping,,,Heusden-Zolder
399,Vooruit - Balzaal,Sint-Pietersnieuwstraat 23,9000,Gent
400,SLO Pax,,,Oostende
401,Centre Culturel Jacques Franck,CHAUSSEE DE WATERLOO 94,1060,Saint Gilles
402,Stuk,Naamsestraat 96,3000,Leuven
403,Tour & Taxis,Havenlaan 86c,1000,Brussel
404,CC De Ploter,,,Ternat
405,CC De Herbakker,Pastoor De Nevestraat 10,9900,Eeklo
406,Den Ast,,,Halle
407,Kattendijkdok,,,Antwerpen
408,Lakenmetershuis,Vrijdagmarkt 25,9000,Gent
409,CC Mortsel - Schouwburg MLS,,,Mortsel
410,Hendrik Baelskaai 18,,,Oostende
411,CC Gildhof,Sint-Michielstraat 9,8700,Tielt
412,Leopoldstraat 31A,,2000,Antwerpen
413,Koninklijk Atheneum Oostende,L. SPILLAERTSTRAAT 31,8400,Oostende
414,Fortstraat 5,,,Oostende
